fecha,hora,demanda
12/07/2013,4,172.184
12/07/2013,5,177.636
12/07/2013,6,192.462
12/07/2013,7,205.8
12/07/2013,8,206.564
12/07/2013,9,210.681
12/07/2013,10,215.671
12/07/2013,11,219.044
12/07/2013,12,215.789
12/07/2013,13,214.886
12/07/2013,14,212.664
12/07/2013,15,215.975
12/07/2013,16,231.253
12/07/2013,17,257.35
12/07/2013,18,285.422
12/07/2013,19,292.928
12/07/2013,20,286.985
12/07/2013,21,276.68
12/07/2013,22,261.775
12/07/2013,23,236.157
13/07/2013,0,212.236
13/07/2013,1,192.571
13/07/2013,2,180.601
13/07/2013,3,174.938
13/07/2013,4,171.497
13/07/2013,5,170.303
13/07/2013,6,178.796
13/07/2013,7,188.36
13/07/2013,8,194.48
13/07/2013,9,202.695
13/07/2013,10,208.357
13/07/2013,11,210.898
13/07/2013,12,212.861
13/07/2013,13,209.419
13/07/2013,14,203.33
13/07/2013,15,204.815
13/07/2013,16,214.959
13/07/2013,17,235.115
13/07/2013,18,271.444
13/07/2013,19,284.717
13/07/2013,20,280.042
13/07/2013,21,273.811
13/07/2013,22,259.948
13/07/2013,23,237.337
14/07/2013,0,213.747
14/07/2013,1,196.074
14/07/2013,2,181.95
14/07/2013,3,174.574
14/07/2013,4,171.092
14/07/2013,5,169.369
14/07/2013,6,168.471
14/07/2013,7,170.071
14/07/2013,8,167.759
14/07/2013,9,177.411
14/07/2013,10,188.246
14/07/2013,11,199.036
14/07/2013,12,203.768
14/07/2013,13,198.412
14/07/2013,14,193.86
14/07/2013,15,192.581
14/07/2013,16,198.821
14/07/2013,17,217.198
14/07/2013,18,259.639
14/07/2013,19,272.962
14/07/2013,20,272.07
14/07/2013,21,266.678
14/07/2013,22,254.349
14/07/2013,23,232.933
15/07/2013,0,209.979
15/07/2013,1,191.125
15/07/2013,2,177.388
15/07/2013,3,171.925
15/07/2013,4,169.766
15/07/2013,5,175.658
15/07/2013,6,190.91
15/07/2013,7,202.827
15/07/2013,8,210.172
15/07/2013,9,218.343
15/07/2013,10,217.438
15/07/2013,11,215.079
15/07/2013,12,209.627
15/07/2013,13,209.03
15/07/2013,14,209.761
